epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,567.291,1.7261,2.96684,1.38028,0.04348,0.86981,0.48666,0.26684,1.75203,3.59563,1.32118,0.000328042,0.000328042,0.000328042
2,1193.05,1.51725,1.79961,1.2521,0.47308,0.58983,0.51883,0.27373,1.76594,2.74357,1.49728,0.00064828,0.00064828,0.00064828
3,1743.86,1.50221,1.61972,1.25399,0.63052,0.59889,0.6078,0.30042,1.81509,2.94162,1.51134,0.000955319,0.000955319,0.000955319
4,12029.8,1.45961,1.51358,1.22335,0.5895,0.71208,0.59021,0.31881,1.67577,2.0996,1.38408,0.0009406,0.0009406,0.0009406
5,12640.8,1.42522,1.40452,1.19821,0.66887,0.65754,0.7092,0.37183,1.72111,2.02135,1.39797,0.0009208,0.0009208,0.0009208
6,13192,1.38126,1.30325,1.18998,0.69608,0.70223,0.71785,0.36845,1.65178,2.15378,1.42254,0.000901,0.000901,0.000901
7,13739.8,1.34745,1.23311,1.17018,0.74441,0.65582,0.72932,0.41415,1.65101,1.94598,1.39196,0.0008812,0.0008812,0.0008812
8,14275.1,1.35193,1.1939,1.16957,0.79104,0.71275,0.79202,0.44251,1.63741,1.74942,1.3596,0.0008614,0.0008614,0.0008614
9,14782.7,1.32011,1.1242,1.14525,0.83348,0.78001,0.84674,0.48998,1.51231,1.58557,1.30411,0.0008416,0.0008416,0.0008416
10,15268.5,1.30862,1.10381,1.14231,0.75096,0.69357,0.71893,0.39958,1.73262,1.7232,1.40361,0.0008218,0.0008218,0.0008218
11,15736.5,1.30213,1.06379,1.14287,0.86945,0.77825,0.84697,0.48679,1.60145,1.49014,1.31419,0.000802,0.000802,0.000802
12,16204.4,1.25723,0.98995,1.12086,0.78012,0.74101,0.79464,0.44199,1.58865,1.53377,1.26584,0.0007822,0.0007822,0.0007822
13,16651.9,1.23903,0.95985,1.10532,0.8949,0.79473,0.89803,0.53012,1.41312,1.28274,1.17095,0.0007624,0.0007624,0.0007624
14,17101.6,1.24548,0.95261,1.10571,0.8421,0.83051,0.88649,0.53459,1.47077,1.25645,1.23632,0.0007426,0.0007426,0.0007426
15,17561.9,1.23333,0.92352,1.09768,0.84574,0.77103,0.86077,0.51596,1.54672,1.45338,1.25901,0.0007228,0.0007228,0.0007228
16,18023.4,1.22154,0.92214,1.09056,0.84487,0.78251,0.87012,0.54861,1.41417,1.24188,1.23701,0.000703,0.000703,0.000703
17,18489.7,1.19153,0.87438,1.08473,0.84193,0.78593,0.85635,0.54404,1.47949,1.18144,1.26336,0.0006832,0.0006832,0.0006832
18,18943.3,1.17324,0.87405,1.08052,0.84408,0.78159,0.86313,0.54218,1.43643,1.32343,1.21643,0.0006634,0.0006634,0.0006634
19,19394.9,1.17829,0.86699,1.07711,0.85989,0.81948,0.87023,0.55967,1.33777,1.20452,1.18954,0.0006436,0.0006436,0.0006436
20,19846.4,1.1764,0.84928,1.06622,0.851,0.84063,0.88959,0.57204,1.37871,1.16961,1.25514,0.0006238,0.0006238,0.0006238
21,20300.3,1.16225,0.81631,1.06664,0.83173,0.85741,0.89045,0.5795,1.40971,1.0847,1.17971,0.000604,0.000604,0.000604
22,20763.4,1.16521,0.80923,1.06212,0.85611,0.8173,0.88473,0.55117,1.4935,1.22905,1.25384,0.0005842,0.0005842,0.0005842
23,21225.8,1.13472,0.79553,1.04994,0.84248,0.86098,0.8796,0.57366,1.28924,1.08613,1.15101,0.0005644,0.0005644,0.0005644
24,21686.4,1.13107,0.79413,1.04462,0.8173,0.82224,0.87582,0.56163,1.35793,1.14362,1.16999,0.0005446,0.0005446,0.0005446
25,22153.5,1.10904,0.7685,1.04211,0.83783,0.82503,0.87828,0.57865,1.36784,1.15928,1.17712,0.0005248,0.0005248,0.0005248
